Ubicacion,Altitud,Bortle,Nubosidad,Humedad,Temperatura,Velocidad_Viento,Presion,Fase_Lunar,Planetas_Visibles,Score_Visibilidad,Calidad_Observacion
Bogotá,2660.2043445843647,7,51,82,30.916327832923233,11.896928069445845,997.5629558898412,0.9224496931836367,0,29.767299335683678,0
Villa de Leyva,2118.1972414291363,3,92,21,19.8722045501908,3.30763180704972,984.7741300825809,0.7131642687573406,2,31.416969185162404,0
Cali,1016.472304676089,7,14,91,20.305285947503076,2.7894226133612654,1010.170099937713,0.584467418058375,1,36.996851633203924,0
Cali,1034.8929978265217,7,71,30,19.5571841666205,14.262279898746472,992.9977736514882,0.9025225390162929,3,23.086296895843667,0
Bogotá,2591.8387167085057,7,60,83,23.25064749582854,3.1484644437934604,1006.3521875527779,0.829132029648398,1,26.09238156309134,0
Villa de Leyva,2153.2496145475307,3,20,96,10.177320853638346,3.913778694752521,1006.6108266823944,0.7167764548342263,3,48.451144820565595,0
Medellín,1501.554312037406,7,82,100,8.782830760197596,14.544239083565069,1012.3639863018095,0.032578382392174476,1,16.69960236187157,0
Tatacoa,443.8701304649008,2,86,91,9.384870281981573,11.020628553975385,1013.5358668777599,0.3735204182403614,3,30.68584581963091,0
Tatacoa,481.4544795166755,2,74,40,18.664768381796346,10.493947995352922,1003.1503595480692,0.6318896722018543,2,30.7286131360052,0
Tatacoa,353.4109058278734,1,74,37,14.6131505412676,12.793895757818719,994.8946376421532,0.522250524356765,2,47.33398782340079,0
Villa de Leyva,2191.514610514976,3,87,83,22.92894949690385,1.737346233551914,1017.685290267563,0.31931832649784386,0,16.051475914100145,0
Bogotá,2638.863592975807,8,99,57,31.818614944994696,10.589343548700107,993.9439542233819,0.1444239155097765,2,15.077687766930056,0
Guajira,25.74286282603705,1,23,51,17.27175615383518,7.555329139923583,1002.8379092511199,0.5529965826889216,1,50.69731660443821,0
Medellín,1506.071595107655,8,2,30,21.77219009850832,12.437259604262097,998.0563662441677,0.285917575862213,2,59.093833162625614,0
Tatacoa,360.9312581294103,2,21,64,17.974493501776053,7.622125779977915,1018.4785273686359,0.23300048980899635,1,46.95163641527627,0
Bogotá,2602.7216209858793,8,52,52,28.334520025324625,9.303620314033681,999.4363339015623,0.39895822705493356,2,18.70676482533915,0
Bogotá,2587.9452408530524,8,1,60,29.653673683093714,7.166131895993039,997.3744634976867,0.7854914332142686,1,51.61376103369256,0
Tatacoa,416.3826703036969,2,87,27,29.056534692926242,7.172383853337662,1011.0420661803937,0.4878535023663122,1,32.53211292211971,0
